ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,62,17,-1.1,63.1
2,Arizona,62.3,125,2.9,59.4
3,Arkansas,58.7,6,-1.7,60.4
4,California,61.5,128,4.1,57.4
5,Colorado,46.1,105,1.5,44.6
6,Connecticut,48.7,84,0.6,48
7,Delaware,54.7,78,0.5,54.2
8,Florida,70.6,81,0.5,70.1
9,Georgia,63,35,-0.4,63.4
10,Idaho,45.1,124,2.5,42.6
11,Illinois,49.5,6,-2.1,51.6
12,Indiana,49.4,7,-1.9,51.3
13,Iowa,45.5,11,-2.1,47.5
14,Kansas,53.7,46,-0.5,54.1
15,Kentucky,54.3,16,-1.1,55.5
16,Louisiana,65.1,9,-1.3,66.4
17,Maine,41.2,99,1.1,40.1
18,Maryland,53.6,48,-0.2,53.8
19,Massachusetts,47.7,88,0.8,46.9
20,Michigan,41.9,10,-1.7,43.6
21,Minnesota,38.6,18,-1.4,40.1
22,Mississippi,62.3,13,-1.3,63.6
23,Missouri,52.9,10,-1.6,54.5
24,Montana,41.9,82,0.8,41.1
25,Nebraska,48,47,-0.4,48.4
26,Nevada,53,128,3.5,49.5
27,New Hampshire,43.1,86,0.7,42.3
28,New Jersey,51.9,76,0.5,51.4
29,New Mexico,54.8,117,2,52.8
30,New York,44.5,54,0,44.5
31,North Carolina,58.4,43,-0.2,58.5
32,North Dakota,39,41,-0.7,39.7
33,Ohio,49.2,15,-1.2,50.4
34,Oklahoma,58.9,29,-0.8,59.7
35,Oregon,49.6,126,3.1,46.5
36,Pennsylvania,47.4,23,-0.7,48.1
37,Rhode Island,49.7,94,1.2,48.6
38,South Carolina,62.2,38,-0.2,62.4
39,South Dakota,43.7,36,-0.9,44.6
40,Tennessee,56.6,16,-1,57.7
41,Texas,64.9,61,0.2,64.6
42,Utah,50.4,122,2.9,47.5
43,Vermont,42,83,0.6,41.3
44,Virginia,54.4,34,-0.4,54.8
45,Washington,48.4,122,2.2,46.1
46,West Virginia,50.8,24,-0.8,51.6
47,Wisconsin,40.2,9,-2.1,42.4
48,Wyoming,42.1,97,1.4,40.7
