ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,65.3,125,2.3,63.1
2,Arizona,62.2,125,2.8,59.4
3,Arkansas,62.8,125,2.4,60.4
4,California,60.1,123,2.8,57.4
5,Colorado,47.3,122,2.7,44.6
6,Connecticut,51.8,127,3.7,48
7,Delaware,57.4,124,3.2,54.2
8,Florida,72.5,124,2.3,70.1
9,Georgia,65.8,127,2.4,63.4
10,Idaho,45.1,124,2.5,42.6
11,Illinois,54.7,124,3.1,51.6
12,Indiana,54.2,125,2.9,51.3
13,Iowa,50.7,123,3.2,47.5
14,Kansas,57.2,126,3,54.1
15,Kentucky,57.9,125,2.4,55.5
16,Louisiana,68.7,126,2.4,66.4
17,Maine,43.3,121,3.2,40.1
18,Maryland,56.5,121,2.7,53.8
19,Massachusetts,50.3,123,3.4,46.9
20,Michigan,47.4,126,3.8,43.6
21,Minnesota,44.6,124,4.5,40.1
22,Mississippi,65.9,126,2.3,63.6
23,Missouri,57.4,126,2.9,54.5
24,Montana,44.6,126,3.5,41.1
25,Nebraska,51.7,126,3.3,48.4
26,Nevada,51.9,119,2.4,49.5
27,New Hampshire,45.7,122,3.4,42.3
28,New Jersey,55,123,3.5,51.4
29,New Mexico,55.5,125,2.7,52.8
30,New York,47.6,124,3.1,44.5
31,North Carolina,60.8,125,2.3,58.5
32,North Dakota,44.4,127,4.7,39.7
33,Ohio,53.6,126,3.2,50.4
34,Oklahoma,62.3,126,2.6,59.7
35,Oregon,48.8,121,2.3,46.5
36,Pennsylvania,50.9,124,2.8,48.1
37,Rhode Island,52.2,125,3.6,48.6
38,South Carolina,64.9,125,2.5,62.4
39,South Dakota,48.4,125,3.8,44.6
40,Tennessee,60.3,127,2.6,57.7
41,Texas,67.2,125,2.5,64.6
42,Utah,50.2,119,2.7,47.5
43,Vermont,44.7,122,3.3,41.3
44,Virginia,57.1,122,2.3,54.8
45,Washington,48.6,125,2.4,46.1
46,West Virginia,54.1,124,2.6,51.6
47,Wisconsin,46.2,124,3.8,42.4
48,Wyoming,43.9,125,3.2,40.7
