ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,64.5,114,1.4,63.1
2,Arizona,62.3,126,2.9,59.4
3,Arkansas,61.2,96,0.8,60.4
4,California,60.1,123,2.7,57.4
5,Colorado,47.2,120,2.6,44.6
6,Connecticut,50.8,116,2.7,48
7,Delaware,57.1,117,3,54.2
8,Florida,72.3,120,2.2,70.1
9,Georgia,65.1,118,1.7,63.4
10,Idaho,44.5,118,1.9,42.6
11,Illinois,52.5,90,0.9,51.6
12,Indiana,52.6,100,1.3,51.3
13,Iowa,47.5,57,0,47.5
14,Kansas,54.6,80,0.5,54.1
15,Kentucky,57,109,1.5,55.5
16,Louisiana,67.8,118,1.4,66.4
17,Maine,41.8,108,1.7,40.1
18,Maryland,55.9,115,2.2,53.8
19,Massachusetts,49.5,113,2.5,46.9
20,Michigan,45.1,103,1.5,43.6
21,Minnesota,40.6,76,0.5,40.1
22,Mississippi,64.8,109,1.1,63.6
23,Missouri,55.2,93,0.7,54.5
24,Montana,41.3,62,0.1,41.1
25,Nebraska,48.3,62,-0.1,48.4
26,Nevada,52,120,2.5,49.5
27,New Hampshire,44.5,111,2.1,42.3
28,New Jersey,54.2,114,2.7,51.4
29,New Mexico,55.5,125,2.7,52.8
30,New York,46.2,108,1.7,44.5
31,North Carolina,60.4,117,1.9,58.5
32,North Dakota,39.8,67,0.1,39.7
33,Ohio,52.2,107,1.8,50.4
34,Oklahoma,60.2,86,0.5,59.7
35,Oregon,48.4,119,2,46.5
36,Pennsylvania,49.8,109,1.6,48.1
37,Rhode Island,51.6,119,3,48.6
38,South Carolina,64.3,120,1.9,62.4
39,South Dakota,44.1,48,-0.4,44.6
40,Tennessee,59.1,111,1.4,57.7
41,Texas,66,112,1.4,64.6
42,Utah,50.4,122,2.9,47.5
43,Vermont,43.2,109,1.9,41.3
44,Virginia,56.6,115,1.8,54.8
45,Washington,48.1,115,1.9,46.1
46,West Virginia,53.3,114,1.7,51.6
47,Wisconsin,43.2,89,0.8,42.4
48,Wyoming,42.4,104,1.7,40.7
