ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,65.4,126,2.3,63.1
2,Arizona,60.3,92,0.9,59.4
3,Arkansas,61.2,96,0.8,60.4
4,California,58.4,95,1,57.4
5,Colorado,45.3,84,0.7,44.6
6,Connecticut,49.8,109,1.7,48
7,Delaware,57.5,125,3.3,54.2
8,Florida,73.2,127,3.1,70.1
9,Georgia,66.2,128,2.9,63.4
10,Idaho,43,74,0.4,42.6
11,Illinois,52.1,82,0.5,51.6
12,Indiana,52.4,96,1.1,51.3
13,Iowa,46.8,42,-0.7,47.5
14,Kansas,53.8,50,-0.3,54.1
15,Kentucky,57.5,121,2,55.5
16,Louisiana,67.7,113,1.3,66.4
17,Maine,40.7,79,0.6,40.1
18,Maryland,56.6,123,2.8,53.8
19,Massachusetts,48.5,106,1.6,46.9
20,Michigan,43.9,69,0.4,43.6
21,Minnesota,39.3,37,-0.8,40.1
22,Mississippi,65.2,117,1.6,63.6
23,Missouri,55,85,0.5,54.5
24,Montana,39.9,29,-1.3,41.1
25,Nebraska,47.5,27,-0.9,48.4
26,Nevada,49.9,73,0.4,49.5
27,New Hampshire,43.3,93,0.9,42.3
28,New Jersey,54.3,116,2.8,51.4
29,New Mexico,54.5,109,1.6,52.8
30,New York,45.2,89,0.7,44.5
31,North Carolina,61.3,128,2.8,58.5
32,North Dakota,38,23,-1.7,39.7
33,Ohio,52.4,115,2,50.4
34,Oklahoma,59.9,71,0.2,59.7
35,Oregon,47.1,82,0.7,46.5
36,Pennsylvania,49.9,111,1.7,48.1
37,Rhode Island,50.6,108,2.1,48.6
38,South Carolina,65,127,2.6,62.4
39,South Dakota,42.3,10,-2.2,44.6
40,Tennessee,59.8,122,2.2,57.7
41,Texas,65.9,109,1.2,64.6
42,Utah,47.9,72,0.3,47.5
43,Vermont,41.9,79,0.5,41.3
44,Virginia,57.5,127,2.7,54.8
45,Washington,46.5,75,0.4,46.1
46,West Virginia,54.2,126,2.6,51.6
47,Wisconsin,42.1,48,-0.2,42.4
48,Wyoming,40.3,50,-0.5,40.7
