ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,64.9,118,1.8,63.1
2,Arizona,62.6,127,3.3,59.4
3,Arkansas,61.2,90,0.7,60.4
4,California,60.5,126,3.1,57.4
5,Colorado,47.3,122,2.7,44.6
6,Connecticut,51.8,127,3.7,48
7,Delaware,58,127,3.8,54.2
8,Florida,73.2,127,3.1,70.1
9,Georgia,65.6,123,2.3,63.4
10,Idaho,44.3,115,1.7,42.6
11,Illinois,53.3,107,1.7,51.6
12,Indiana,53.3,118,2,51.3
13,Iowa,49.2,108,1.6,47.5
14,Kansas,55.6,104,1.5,54.1
15,Kentucky,57.1,112,1.7,55.5
16,Louisiana,68.2,120,1.8,66.4
17,Maine,43.5,123,3.4,40.1
18,Maryland,57.2,127,3.4,53.8
19,Massachusetts,50.9,127,4,46.9
20,Michigan,46.5,118,3,43.6
21,Minnesota,42.4,113,2.3,40.1
22,Mississippi,65.5,120,1.8,63.6
23,Missouri,55.8,104,1.3,54.5
24,Montana,43.3,112,2.2,41.1
25,Nebraska,50.6,113,2.2,48.4
26,Nevada,52.4,124,3,49.5
27,New Hampshire,45.9,124,3.5,42.3
28,New Jersey,55.5,127,4.1,51.4
29,New Mexico,56,127,3.2,52.8
30,New York,47.8,126,3.3,44.5
31,North Carolina,60.8,125,2.3,58.5
32,North Dakota,42.3,114,2.6,39.7
33,Ohio,53,121,2.6,50.4
34,Oklahoma,60.7,101,1,59.7
35,Oregon,48.8,121,2.3,46.5
36,Pennsylvania,51.2,126,3,48.1
37,Rhode Island,52.8,127,4.2,48.6
38,South Carolina,64.6,123,2.2,62.4
39,South Dakota,46.8,113,2.2,44.6
40,Tennessee,59.3,116,1.6,57.7
41,Texas,66.9,122,2.2,64.6
42,Utah,50.4,122,2.8,47.5
43,Vermont,44.8,123,3.5,41.3
44,Virginia,57.4,126,2.6,54.8
45,Washington,48.1,117,1.9,46.1
46,West Virginia,54,123,2.4,51.6
47,Wisconsin,44.8,116,2.5,42.4
48,Wyoming,42.8,114,2,40.7
