ID,Name,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
1,Alabama,64.6,115,1.5,63.1
2,Arizona,61.8,119,2.4,59.4
3,Arkansas,61.4,103,1,60.4
4,California,60.8,127,3.4,57.4
5,Colorado,47.4,124,2.8,44.6
6,Connecticut,49.8,109,1.8,48
7,Delaware,56.4,112,2.2,54.2
8,Florida,73.4,128,3.2,70.1
9,Georgia,65.3,120,2,63.4
10,Idaho,46.4,127,3.8,42.6
11,Illinois,52.9,100,1.3,51.6
12,Indiana,52.3,92,1,51.3
13,Iowa,49.3,111,1.8,47.5
14,Kansas,56.3,117,2.2,54.1
15,Kentucky,56.6,98,1.1,55.5
16,Louisiana,68.1,119,1.7,66.4
17,Maine,41.2,99,1.1,40.1
18,Maryland,55.4,107,1.7,53.8
19,Massachusetts,48.5,106,1.5,46.9
20,Michigan,45.1,103,1.5,43.6
21,Minnesota,43.5,120,3.4,40.1
22,Mississippi,65.3,118,1.7,63.6
23,Missouri,55.8,104,1.3,54.5
24,Montana,44.9,128,3.7,41.1
25,Nebraska,50.8,119,2.4,48.4
26,Nevada,52.9,126,3.4,49.5
27,New Hampshire,43.6,102,1.3,42.3
28,New Jersey,53.9,112,2.4,51.4
29,New Mexico,54.9,119,2.1,52.8
30,New York,45.7,100,1.2,44.5
31,North Carolina,60.5,120,2,58.5
32,North Dakota,43.4,122,3.7,39.7
33,Ohio,51.6,98,1.2,50.4
34,Oklahoma,60.8,108,1.2,59.7
35,Oregon,50.4,128,3.9,46.5
36,Pennsylvania,49.5,105,1.3,48.1
37,Rhode Island,50.4,106,1.9,48.6
38,South Carolina,64.5,122,2.1,62.4
39,South Dakota,47.5,120,3,44.6
40,Tennessee,59,109,1.4,57.7
41,Texas,65.8,107,1.2,64.6
42,Utah,50.7,126,3.2,47.5
43,Vermont,42.6,102,1.3,41.3
44,Virginia,56.5,111,1.7,54.8
45,Washington,50,128,3.8,46.1
46,West Virginia,53.1,110,1.6,51.6
47,Wisconsin,44.8,116,2.5,42.4
48,Wyoming,44.2,126,3.4,40.7
